150, 28
150, 28
151, 28
151, 28
151, 28
151, 28
151, 28
151, 28
151, 29
151, 29
150, 29
150, 29
151, 28
151, 28
151, 28
151, 28
151, 28
150, 28
150, 28
150, 28
150, 28
150, 28
150, 28
150, 28
150, 28
150, 28
150, 28
150, 28
150, 28
150, 28
150, 28
149, 29
150, 28
149, 28
149, 28
149, 27
149, 26
148, 26
148, 25
146, 25
146, 24
144, 24
144, 23
143, 22
143, 22
143, 21
143, 21
143, 22
145, 22
146, 22
147, 23
149, 23
150, 23
151, 24
152, 23
152, 24
151, 24
151, 23
150, 23
148, 23
146, 24
144, 24
142, 24
140, 24
138, 23
136, 24
134, 24
132, 23
131, 23
130, 22
128, 23
128, 22
127, 22
125, 22
124, 22
123, 22
123, 22
122, 22
121, 22
120, 22
120, 21
119, 21
118, 21
118, 21
118, 22
119, 21
119, 22
120, 21
120, 20
119, 20
117, 19
115, 18
112, 18
109, 18
105, 18
102, 18
99, 17
95, 17
91, 17
87, 17
271, 249
274, 253
272, 260
265, 268
263, 275
262, 278
262, 278
261, 278
63, 17
63, 17
63, 17
64, 17
65, 17
66, 17
67, 17
68, 17
268, 278
262, 278
74, 16
77, 16
80, 16
307, 152
309, 147
311, 153
311, 157
312, 160
313, 162
315, 165
317, 169
320, 170
323, 174
258, 34
261, 27
264, 21
267, 16
270, 11
272, 6
275, 0
276, 0
277, 0
277, 0
277, 0
276, 0
347, 139
347, 135
348, 130
348, 125
348, 119
349, 114
349, 108
349, 103
349, 98
349, 92
351, 88
352, 85
354, 83
127, 144
127, 142
127, 140
128, 138
128, 137
128, 135
128, 134
128, 133
128, 131
127, 130
127, 129
127, 128
127, 127
126, 126
126, 125
126, 124
126, 123
126, 122
126, 121
125, 120
125, 119
125, 118
125, 118
125, 116
398, 148
402, 151
405, 154
409, 156
412, 158
415, 159
417, 160
419, 160
419, 161
420, 161
420, 161
420, 161
421, 161
421, 161
422, 161
424, 161
425, 161
426, 161
427, 161
428, 161
428, 161
428, 161
427, 162
425, 163
423, 165
422, 167
419, 169
415, 173
412, 176
406, 181
127, 113
125, 113
122, 112
120, 112
117, 112
115, 107
115, 104
431, 84
431, 89
431, 94
431, 97
431, 99
431, 99
431, 99
431, 99
431, 99
431, 99
431, 99
113, 116
114, 116
114, 116
115, 116
115, 114
431, 90
431, 88
431, 86
431, 83
431, 80
431, 77
431, 75
431, 72
431, 70
431, 69
116, 78
116, 77
116, 77
117, 76
117, 75
117, 75
117, 73
117, 72
118, 71
118, 71
118, 70
118, 70
118, 69
117, 69
117, 69
117, 69
117, 69
117, 68
117, 68
116, 68
115, 68
114, 68
113, 69
350, 158
353, 159
357, 161
360, 163
363, 165
369, 167
376, 168
385, 165
395, 157
401, 147
407, 139
415, 132
422, 128
431, 126
431, 125
419, 23
417, 29
415, 37
232, 144
219, 158
215, 156
205, 167
200, 165
190, 179
191, 180
188, 184
185, 190
207, 272
209, 275
214, 278
219, 278
221, 278
